time	sig 0	sig 1
(sec)	(mV)	(mV)
  0.000	 -0.275	 -0.210
  0.004	 -0.295	 -0.200
  0.008	 -0.310	 -0.220
  0.012	 -0.315	 -0.225
  0.016	 -0.300	 -0.215
  0.020	 -0.320	 -0.220
  0.024	 -0.300	 -0.210
  0.028	 -0.300	 -0.195
  0.032	 -0.290	 -0.190
  0.036	 -0.280	 -0.205
  0.040	 -0.295	 -0.190
  0.044	 -0.290	 -0.210
  0.048	 -0.305	 -0.200
  0.052	 -0.315	 -0.200
  0.056	 -0.320	 -0.215
  0.060	 -0.295	 -0.215
  0.064	 -0.295	 -0.215
  0.068	 -0.305	 -0.195
  0.072	 -0.275	 -0.205
  0.076	 -0.250	 -0.200
  0.080	 -0.230	 -0.195
  0.084	 -0.190	 -0.200
  0.088	 -0.175	 -0.185
  0.092	 -0.165	 -0.160
  0.096	 -0.170	 -0.120
  0.100	 -0.140	 -0.130
  0.104	 -0.145	 -0.130
  0.108	 -0.120	 -0.125
  0.112	 -0.120	 -0.145
  0.116	 -0.110	 -0.155
  0.120	 -0.115	 -0.155
  0.124	 -0.090	 -0.155
  0.128	 -0.100	 -0.230
  0.132	 -0.130	 -0.280
  0.136	 -0.160	 -0.290
  0.140	 -0.215	 -0.295
  0.144	 -0.230	 -0.315
  0.148	 -0.285	 -0.285
  0.152	 -0.280	 -0.240
  0.156	 -0.320	 -0.270
  0.160	 -0.310	 -0.265
  0.164	 -0.310	 -0.260
  0.168	 -0.320	 -0.270
  0.172	 -0.340	 -0.270
  0.176	 -0.335	 -0.300
  0.180	 -0.340	 -0.310
  0.184	 -0.360	 -0.285
  0.188	 -0.310	 -0.290
  0.192	 -0.260	 -0.245
  0.196	 -0.180	 -0.200
  0.200	  0.030	 -0.170
  0.204	  0.350	 -0.170
  0.208	  0.695	 -0.195
  0.212	  0.860	 -0.230
  0.216	  1.030	 -0.490
  0.220	  0.995	 -0.960
  0.224	  0.420	 -1.465
  0.228	 -0.580	 -1.825
  0.232	 -1.345	 -2.080
  0.236	 -1.695	 -2.280
  0.240	 -1.770	 -2.615
  0.244	 -1.650	 -2.625
  0.248	 -1.375	 -2.355
  0.252	 -1.000	 -1.995
  0.256	 -0.740	 -1.635
  0.260	 -0.595	 -1.240
  0.264	 -0.495	 -0.920
  0.268	 -0.445	 -0.650
  0.272	 -0.440	 -0.470
  0.276	 -0.435	 -0.380
  0.280	 -0.440	 -0.320
  0.284	 -0.430	 -0.310
  0.288	 -0.425	 -0.320
  0.292	 -0.410	 -0.320
  0.296	 -0.390	 -0.280
  0.300	 -0.415	 -0.250
  0.304	 -0.425	 -0.250
  0.308	 -0.405	 -0.260
  0.312	 -0.445	 -0.270
  0.316	 -0.445	 -0.275
  0.320	 -0.455	 -0.270
  0.324	 -0.460	 -0.260
  0.328	 -0.465	 -0.265
  0.332	 -0.475	 -0.270
  0.336	 -0.455	 -0.240
  0.340	 -0.430	 -0.235
  0.344	 -0.450	 -0.250
  0.348	 -0.470	 -0.255
  0.352	 -0.450	 -0.250
  0.356	 -0.460	 -0.210
  0.360	 -0.500	 -0.210
  0.364	 -0.500	 -0.255
  0.368	 -0.510	 -0.230
  0.372	 -0.505	 -0.240
  0.376	 -0.520	 -0.265
  0.380	 -0.500	 -0.275
  0.384	 -0.520	 -0.240
  0.388	 -0.525	 -0.255
  0.392	 -0.530	 -0.260
  0.396	 -0.560	 -0.285
  0.400	 -0.610	 -0.280
  0.404	 -0.610	 -0.290
  0.408	 -0.645	 -0.275
  0.412	 -0.655	 -0.325
  0.416	 -0.660	 -0.315
  0.420	 -0.665	 -0.345
  0.424	 -0.685	 -0.340
  0.428	 -0.695	 -0.350
  0.432	 -0.700	 -0.365
  0.436	 -0.720	 -0.380
  0.440	 -0.780	 -0.400
  0.444	 -0.800	 -0.400
  0.448	 -0.800	 -0.445
  0.452	 -0.810	 -0.420
  0.456	 -0.830	 -0.460
  0.460	 -0.840	 -0.480
  0.464	 -0.845	 -0.485
  0.468	 -0.865	 -0.470
  0.472	 -0.870	 -0.485
  0.476	 -0.870	 -0.485
  0.480	 -0.875	 -0.525
  0.484	 -0.885	 -0.550
  0.488	 -0.910	 -0.530
  0.492	 -0.900	 -0.555
  0.496	 -0.900	 -0.550
  0.500	 -0.895	 -0.560
  0.504	 -0.840	 -0.555
  0.508	 -0.790	 -0.555
  0.512	 -0.730	 -0.555
  0.516	 -0.675	 -0.545
  0.520	 -0.640	 -0.520
  0.524	 -0.590	 -0.505
  0.528	 -0.560	 -0.530
  0.532	 -0.480	 -0.490
  0.536	 -0.430	 -0.465
  0.540	 -0.400	 -0.450
  0.544	 -0.355	 -0.410
  0.548	 -0.310	 -0.390
  0.552	 -0.290	 -0.375
  0.556	 -0.245	 -0.335
  0.560	 -0.220	 -0.300
  0.564	 -0.210	 -0.280
  0.568	 -0.225	 -0.285
  0.572	 -0.220	 -0.280
  0.576	 -0.205	 -0.285
  0.580	 -0.230	 -0.280
  0.584	 -0.250	 -0.300
  0.588	 -0.240	 -0.300
  0.592	 -0.235	 -0.310
  0.596	 -0.240	 -0.315
  0.600	 -0.240	 -0.290
  0.604	 -0.220	 -0.280
  0.608	 -0.220	 -0.300
  0.612	 -0.215	 -0.320
  0.616	 -0.225	 -0.295
  0.620	 -0.260	 -0.295
  0.624	 -0.260	 -0.270
  0.628	 -0.270	 -0.305
  0.632	 -0.295	 -0.305
  0.636	 -0.280	 -0.290
  0.640	 -0.285	 -0.305
  0.644	 -0.275	 -0.280
  0.648	 -0.270	 -0.310
  0.652	 -0.255	 -0.310
  0.656	 -0.265	 -0.320
  0.660	 -0.275	 -0.320
  0.664	 -0.300	 -0.320
  0.668	 -0.315	 -0.305
  0.672	 -0.315	 -0.320
  0.676	 -0.300	 -0.290
  0.680	 -0.305	 -0.310
  0.684	 -0.295	 -0.300
  0.688	 -0.290	 -0.315
  0.692	 -0.305	 -0.320
  0.696	 -0.280	 -0.310
  0.700	 -0.305	 -0.320
  0.704	 -0.315	 -0.320
  0.708	 -0.305	 -0.305
  0.712	 -0.305	 -0.295
  0.716	 -0.295	 -0.305
  0.720	 -0.295	 -0.325
  0.724	 -0.295	 -0.330
  0.728	 -0.290	 -0.330
  0.732	 -0.270	 -0.320
  0.736	 -0.250	 -0.330
  0.740	 -0.270	 -0.330
  0.744	 -0.255	 -0.310
  0.748	 -0.250	 -0.300
  0.752	 -0.300	 -0.240
  0.756	 -0.230	 -0.200
  0.760	  0.005	 -0.255
  0.764	  0.400	 -0.355
  0.768	  0.740	 -0.510
  0.772	  1.035	 -0.675
  0.776	  0.910	 -0.600
  0.780	  0.115	 -0.640
  0.784	 -0.875	 -0.940
  0.788	 -1.460	 -1.330
  0.792	 -1.715	 -1.670
  0.796	 -1.725	 -1.870
  0.800	 -1.590	 -1.905
  0.804	 -1.365	 -1.845
  0.808	 -1.005	 -1.690
  0.812	 -0.640	 -1.430
  0.816	 -0.350	 -1.160
  0.820	 -0.165	 -0.870
  0.824	 -0.130	 -0.660
  0.828	 -0.115	 -0.480
  0.832	 -0.145	 -0.330
  0.836	 -0.145	 -0.240
  0.840	 -0.165	 -0.210
  0.844	 -0.190	 -0.190
  0.848	 -0.195	 -0.190
  0.852	 -0.200	 -0.200
  0.856	 -0.200	 -0.215
  0.860	 -0.175	 -0.205
  0.864	 -0.190	 -0.210
  0.868	 -0.210	 -0.230
  0.872	 -0.230	 -0.255
  0.876	 -0.230	 -0.290
  0.880	 -0.270	 -0.320
  0.884	 -0.290	 -0.315
  0.888	 -0.330	 -0.335
  0.892	 -0.325	 -0.345
  0.896	 -0.330	 -0.355
  0.900	 -0.355	 -0.350
  0.904	 -0.360	 -0.330
  0.908	 -0.345	 -0.350
  0.912	 -0.320	 -0.375
  0.916	 -0.330	 -0.370
  0.920	 -0.330	 -0.385
  0.924	 -0.360	 -0.390
  0.928	 -0.365	 -0.410
  0.932	 -0.400	 -0.390
  0.936	 -0.420	 -0.400
  0.940	 -0.430	 -0.410
  0.944	 -0.450	 -0.415
  0.948	 -0.470	 -0.420
  0.952	 -0.455	 -0.450
  0.956	 -0.470	 -0.460
  0.960	 -0.470	 -0.450
  0.964	 -0.505	 -0.460
  0.968	 -0.520	 -0.460
  0.972	 -0.570	 -0.480
  0.976	 -0.595	 -0.490
  0.980	 -0.610	 -0.500
  0.984	 -0.630	 -0.505
  0.988	 -0.640	 -0.520
  0.992	 -0.650	 -0.535
  0.996	 -0.650	 -0.565
  1.000	 -0.640	 -0.550
  1.004	 -0.640	 -0.565
  1.008	 -0.635	 -0.570
  1.012	 -0.655	 -0.605
  1.016	 -0.665	 -0.575
