time	ignal 0	ignal 1
(sec)	(mV)	(mV)
  0.000	 -0.015	 -0.320
  0.004	 -0.045	 -0.350
  0.008	 -0.030	 -0.345
  0.012	 -0.025	 -0.360
  0.016	 -0.005	 -0.365
  0.020	 -0.045	 -0.360
  0.024	 -0.015	 -0.340
  0.028	 -0.025	 -0.340
  0.032	 -0.040	 -0.340
  0.036	 -0.045	 -0.360
  0.040	 -0.050	 -0.365
  0.044	 -0.040	 -0.345
  0.048	 -0.045	 -0.350
  0.052	 -0.035	 -0.345
  0.056	 -0.045	 -0.360
  0.060	 -0.050	 -0.360
  0.064	 -0.040	 -0.355
  0.068	 -0.045	 -0.335
  0.072	 -0.055	 -0.335
  0.076	 -0.050	 -0.290
  0.080	 -0.035	 -0.240
  0.084	 -0.040	 -0.230
  0.088	 -0.050	 -0.185
  0.092	 -0.060	 -0.175
  0.096	 -0.040	 -0.170
  0.100	 -0.010	 -0.160
  0.104	  0.000	 -0.175
  0.108	  0.035	 -0.175
  0.112	  0.035	 -0.160
  0.116	  0.060	 -0.180
  0.120	  0.070	 -0.170
  0.124	  0.075	 -0.155
  0.128	  0.050	 -0.135
  0.132	  0.040	 -0.160
  0.136	  0.000	 -0.185
  0.140	 -0.015	 -0.230
  0.144	 -0.015	 -0.280
  0.148	 -0.050	 -0.300
  0.152	 -0.090	 -0.305
  0.156	 -0.085	 -0.300
  0.160	 -0.100	 -0.275
  0.164	 -0.090	 -0.260
  0.168	 -0.125	 -0.285
  0.172	 -0.125	 -0.275
  0.176	 -0.125	 -0.285
  0.180	 -0.110	 -0.290
  0.184	 -0.090	 -0.325
  0.188	 -0.070	 -0.345
  0.192	 -0.050	 -0.345
  0.196	 -0.085	 -0.360
  0.200	 -0.070	 -0.400
  0.204	 -0.075	 -0.390
  0.208	 -0.055	 -0.370
  0.212	 -0.030	 -0.380
  0.216	 -0.010	 -0.375
  0.220	 -0.010	 -0.375
  0.224	 -0.020	 -0.380
  0.228	 -0.040	 -0.385
  0.232	 -0.005	 -0.365
  0.236	 -0.025	 -0.365
  0.240	 -0.035	 -0.365
  0.244	 -0.025	 -0.350
  0.248	 -0.025	 -0.365
