time	sig 0	sig 1
(sec)	(mV)	(mV)
  0.000	  0.255	  0.185
  0.008	  0.245	  0.175
  0.016	  0.235	  0.165
  0.023	  0.235	  0.165
  0.031	  0.235	  0.165
  0.039	  0.225	  0.155
  0.047	  0.215	  0.155
  0.055	  0.215	  0.145
  0.062	  0.205	  0.145
  0.070	  0.205	  0.145
  0.078	  0.195	  0.135
  0.086	  0.195	  0.125
  0.094	  0.185	  0.125
  0.102	  0.175	  0.125
  0.109	  0.165	  0.115
  0.117	  0.175	  0.105
  0.125	  0.165	  0.105
  0.133	  0.155	  0.095
  0.141	  0.145	  0.085
  0.148	  0.125	  0.075
  0.156	 -0.475	 -0.335
  0.164	 -0.685	 -0.645
  0.172	 -0.645	 -0.625
  0.180	 -0.635	 -0.615
  0.188	 -0.635	 -0.615
  0.195	 -0.635	 -0.605
  0.203	 -0.625	 -0.605
  0.211	 -0.605	 -0.595
  0.219	 -0.605	 -0.585
  0.227	 -0.595	 -0.585
  0.234	 -0.595	 -0.585
  0.242	 -0.575	 -0.565
  0.250	 -0.565	 -0.565
  0.258	 -0.565	 -0.555
  0.266	 -0.555	 -0.555
  0.273	 -0.545	 -0.535
  0.281	 -0.535	 -0.535
  0.289	 -0.525	 -0.525
  0.297	 -0.525	 -0.525
  0.305	 -0.515	 -0.515
  0.312	 -0.505	 -0.505
  0.320	 -0.505	 -0.495
  0.328	 -0.495	 -0.495
  0.336	 -0.485	 -0.485
  0.344	 -0.475	 -0.475
  0.352	 -0.465	 -0.465
  0.359	 -0.465	 -0.465
  0.367	 -0.455	 -0.465
  0.375	 -0.455	 -0.445
  0.383	 -0.445	 -0.445
  0.391	 -0.435	 -0.445
  0.398	 -0.425	 -0.425
  0.406	 -0.425	 -0.425
  0.414	 -0.415	 -0.415
  0.422	 -0.405	 -0.415
  0.430	 -0.395	 -0.405
  0.438	 -0.395	 -0.405
  0.445	 -0.395	 -0.395
  0.453	 -0.385	 -0.395
  0.461	 -0.375	 -0.385
  0.469	 -0.375	 -0.375
  0.477	 -0.365	 -0.375
  0.484	 -0.365	 -0.375
  0.492	 -0.355	 -0.365
  0.500	 -0.355	 -0.355
  0.508	 -0.345	 -0.345
  0.516	 -0.345	 -0.345
  0.523	 -0.335	 -0.345
  0.531	 -0.325	 -0.335
  0.539	 -0.325	 -0.325
  0.547	 -0.315	 -0.325
  0.555	 -0.315	 -0.325
  0.562	 -0.305	 -0.315
  0.570	 -0.305	 -0.305
  0.578	 -0.305	 -0.305
  0.586	 -0.295	 -0.305
  0.594	 -0.285	 -0.295
  0.602	 -0.285	 -0.285
  0.609	 -0.275	 -0.285
  0.617	 -0.275	 -0.285
  0.625	 -0.265	 -0.275
  0.633	 -0.255	 -0.265
  0.641	 -0.235	 -0.255
  0.648	 -0.265	 -0.275
  0.656	  0.555	  0.455
  0.664	  0.555	  0.475
  0.672	  0.535	  0.455
  0.680	  0.535	  0.445
  0.688	  0.525	  0.445
  0.695	  0.515	  0.445
  0.703	  0.505	  0.425
  0.711	  0.505	  0.425
  0.719	  0.495	  0.415
  0.727	  0.485	  0.415
  0.734	  0.475	  0.405
  0.742	  0.465	  0.395
  0.750	  0.465	  0.395
  0.758	  0.455	  0.385
  0.766	  0.445	  0.375
  0.773	  0.435	  0.365
  0.781	  0.425	  0.365
  0.789	  0.425	  0.355
  0.797	  0.415	  0.345
  0.805	  0.415	  0.345
  0.812	  0.405	  0.345
  0.820	  0.395	  0.335
  0.828	  0.385	  0.325
  0.836	  0.375	  0.315
  0.844	  0.375	  0.315
  0.852	  0.365	  0.315
  0.859	  0.355	  0.295
  0.867	  0.345	  0.295
  0.875	  0.345	  0.295
  0.883	  0.335	  0.285
  0.891	  0.325	  0.275
  0.898	  0.325	  0.275
  0.906	  0.315	  0.265
  0.914	  0.315	  0.265
  0.922	  0.305	  0.255
  0.930	  0.295	  0.255
  0.938	  0.295	  0.245
  0.945	  0.285	  0.235
  0.953	  0.285	  0.235
  0.961	  0.275	  0.225
  0.969	  0.275	  0.225
  0.977	  0.265	  0.215
  0.984	  0.265	  0.215
  0.992	  0.255	  0.205
  1.000	  0.255	  0.205
  1.008	  0.245	  0.195
  1.016	  0.235	  0.185
  1.023	  0.235	  0.185
  1.031	  0.225	  0.185
  1.039	  0.225	  0.175
  1.047	  0.225	  0.175
  1.055	  0.215	  0.165
  1.062	  0.205	  0.165
  1.070	  0.205	  0.165
  1.078	  0.205	  0.155
  1.086	  0.195	  0.155
  1.094	  0.185	  0.145
  1.102	  0.185	  0.145
  1.109	  0.185	  0.135
  1.117	  0.175	  0.135
  1.125	  0.165	  0.125
  1.133	  0.165	  0.125
  1.141	  0.145	  0.115
  1.148	  0.155	  0.115
  1.156	 -0.665	 -0.555
  1.164	 -0.655	 -0.605
  1.172	 -0.635	 -0.595
  1.180	 -0.625	 -0.585
  1.188	 -0.615	 -0.575
  1.195	 -0.615	 -0.575
  1.203	 -0.605	 -0.565
  1.211	 -0.595	 -0.555
  1.219	 -0.595	 -0.555
  1.227	 -0.585	 -0.545
  1.234	 -0.575	 -0.535
  1.242	 -0.565	 -0.535
  1.250	 -0.565	 -0.515
  1.258	 -0.555	 -0.515
  1.266	 -0.545	 -0.515
  1.273	 -0.535	 -0.505
  1.281	 -0.535	 -0.495
  1.289	 -0.515	 -0.485
  1.297	 -0.515	 -0.485
  1.305	 -0.505	 -0.475
  1.312	 -0.505	 -0.465
  1.320	 -0.485	 -0.465
  1.328	 -0.485	 -0.465
  1.336	 -0.475	 -0.455
  1.344	 -0.475	 -0.445
  1.352	 -0.465	 -0.435
  1.359	 -0.455	 -0.435
  1.367	 -0.445	 -0.425
  1.375	 -0.445	 -0.415
  1.383	 -0.435	 -0.405
  1.391	 -0.425	 -0.415
  1.398	 -0.415	 -0.405
  1.406	 -0.415	 -0.395
  1.414	 -0.405	 -0.385
  1.422	 -0.405	 -0.385
  1.430	 -0.395	 -0.375
  1.438	 -0.385	 -0.375
  1.445	 -0.385	 -0.365
  1.453	 -0.375	 -0.365
  1.461	 -0.375	 -0.355
  1.469	 -0.365	 -0.345
  1.477	 -0.355	 -0.345
  1.484	 -0.355	 -0.345
  1.492	 -0.345	 -0.335
  1.500	 -0.345	 -0.325
  1.508	 -0.335	 -0.325
  1.516	 -0.335	 -0.325
  1.523	 -0.325	 -0.315
  1.531	 -0.315	 -0.305
  1.539	 -0.315	 -0.305
  1.547	 -0.305	 -0.305
  1.555	 -0.295	 -0.295
  1.562	 -0.295	 -0.285
  1.570	 -0.285	 -0.285
  1.578	 -0.285	 -0.285
  1.586	 -0.275	 -0.275
  1.594	 -0.265	 -0.265
  1.602	 -0.265	 -0.265
  1.609	 -0.265	 -0.265
  1.617	 -0.255	 -0.255
  1.625	 -0.245	 -0.245
  1.633	 -0.245	 -0.235
  1.641	 -0.235	 -0.235
  1.648	 -0.215	 -0.225
  1.656	  0.475	  0.345
  1.664	  0.575	  0.505
  1.672	  0.555	  0.475
  1.680	  0.545	  0.475
  1.688	  0.545	  0.465
  1.695	  0.535	  0.465
  1.703	  0.525	  0.455
  1.711	  0.515	  0.445
  1.719	  0.515	  0.445
  1.727	  0.505	  0.435
  1.734	  0.495	  0.425
  1.742	  0.495	  0.415
  1.750	  0.485	  0.415
  1.758	  0.475	  0.405
  1.766	  0.465	  0.385
  1.773	  0.465	  0.385
  1.781	  0.455	  0.385
  1.789	  0.445	  0.375
  1.797	  0.435	  0.365
  1.805	  0.435	  0.355
  1.812	  0.425	  0.355
  1.820	  0.415	  0.345
  1.828	  0.415	  0.335
  1.836	  0.405	  0.335
  1.844	  0.395	  0.325
  1.852	  0.385	  0.315
  1.859	  0.385	  0.315
  1.867	  0.375	  0.305
  1.875	  0.365	  0.305
  1.883	  0.365	  0.305
  1.891	  0.355	  0.295
  1.898	  0.345	  0.285
  1.906	  0.345	  0.285
  1.914	  0.335	  0.275
  1.922	  0.335	  0.265
  1.930	  0.325	  0.265
  1.938	  0.325	  0.265
  1.945	  0.315	  0.265
  1.953	  0.315	  0.255
  1.961	  0.305	  0.245
  1.969	  0.295	  0.245
  1.977	  0.295	  0.235
  1.984	  0.285	  0.225
  1.992	  0.285	  0.225
  2.000	  0.275	  0.225
  2.008	  0.275	  0.215
  2.016	  0.265	  0.215
  2.023	  0.265	  0.205
  2.031	  0.255	  0.205
  2.039	  0.255	  0.205
  2.047	  0.245	  0.195
  2.055	  0.235	  0.185
  2.062	  0.235	  0.185
  2.070	  0.225	  0.185
  2.078	  0.225	  0.175
  2.086	  0.215	  0.175
  2.094	  0.215	  0.165
  2.102	  0.205	  0.165
  2.109	  0.205	  0.155
  2.117	  0.195	  0.155
  2.125	  0.195	  0.145
  2.133	  0.185	  0.145
  2.141	  0.165	  0.135
  2.148	  0.155	  0.115
  2.156	 -0.435	 -0.335
  2.164	 -0.645	 -0.605
  2.172	 -0.615	 -0.585
  2.180	 -0.605	 -0.575
  2.188	 -0.605	 -0.565
  2.195	 -0.595	 -0.565
  2.203	 -0.595	 -0.565
  2.211	 -0.585	 -0.555
  2.219	 -0.575	 -0.545
  2.227	 -0.565	 -0.535
  2.234	 -0.555	 -0.535
  2.242	 -0.545	 -0.525
  2.250	 -0.535	 -0.515
  2.258	 -0.535	 -0.515
  2.266	 -0.525	 -0.505
  2.273	 -0.505	 -0.495
  2.281	 -0.505	 -0.485
  2.289	 -0.495	 -0.485
  2.297	 -0.485	 -0.475
  2.305	 -0.475	 -0.475
  2.312	 -0.475	 -0.465
  2.320	 -0.465	 -0.455
  2.328	 -0.465	 -0.455
  2.336	 -0.455	 -0.445
  2.344	 -0.445	 -0.435
  2.352	 -0.435	 -0.425
  2.359	 -0.425	 -0.425
  2.367	 -0.425	 -0.425
  2.375	 -0.415	 -0.415
  2.383	 -0.405	 -0.405
  2.391	 -0.405	 -0.405
  2.398	 -0.395	 -0.405
  2.406	 -0.385	 -0.395
  2.414	 -0.385	 -0.385
  2.422	 -0.375	 -0.385
  2.430	 -0.375	 -0.375
  2.438	 -0.365	 -0.365
  2.445	 -0.355	 -0.365
  2.453	 -0.355	 -0.365
  2.461	 -0.345	 -0.355
  2.469	 -0.335	 -0.345
  2.477	 -0.335	 -0.345
  2.484	 -0.335	 -0.335
  2.492	 -0.325	 -0.335
  2.500	 -0.315	 -0.325
  2.508	 -0.315	 -0.325
  2.516	 -0.305	 -0.325
  2.523	 -0.295	 -0.315
  2.531	 -0.295	 -0.305
  2.539	 -0.285	 -0.305
  2.547	 -0.285	 -0.305
  2.555	 -0.275	 -0.295
  2.562	 -0.265	 -0.285
  2.570	 -0.265	 -0.285
  2.578	 -0.265	 -0.285
  2.586	 -0.255	 -0.275
  2.594	 -0.255	 -0.275
  2.602	 -0.245	 -0.265
  2.609	 -0.235	 -0.265
  2.617	 -0.225	 -0.255
  2.625	 -0.225	 -0.245
  2.633	 -0.215	 -0.245
  2.641	 -0.195	 -0.235
  2.648	 -0.215	 -0.255
  2.656	  0.615	  0.465
  2.664	  0.605	  0.495
  2.672	  0.585	  0.475
  2.680	  0.575	  0.465
  2.688	  0.565	  0.465
  2.695	  0.565	  0.455
  2.703	  0.555	  0.455
  2.711	  0.545	  0.445
  2.719	  0.535	  0.435
  2.727	  0.535	  0.435
  2.734	  0.525	  0.425
  2.742	  0.515	  0.415
  2.750	  0.515	  0.405
  2.758	  0.505	  0.395
  2.766	  0.495	  0.385
  2.773	  0.485	  0.385
  2.781	  0.485	  0.375
  2.789	  0.475	  0.375
  2.797	  0.465	  0.365
  2.805	  0.455	  0.355
  2.812	  0.445	  0.355
  2.820	  0.445	  0.345
  2.828	  0.435	  0.335
  2.836	  0.425	  0.325
  2.844	  0.415	  0.325
  2.852	  0.415	  0.315
  2.859	  0.405	  0.305
  2.867	  0.395	  0.295
  2.875	  0.385	  0.295
  2.883	  0.385	  0.295
  2.891	  0.375	  0.285
  2.898	  0.365	  0.275
  2.906	  0.365	  0.275
  2.914	  0.355	  0.265
  2.922	  0.345	  0.255
  2.930	  0.345	  0.255
  2.938	  0.335	  0.255
  2.945	  0.335	  0.245
  2.953	  0.325	  0.235
  2.961	  0.325	  0.225
  2.969	  0.315	  0.225
  2.977	  0.315	  0.225
  2.984	  0.305	  0.215
  2.992	  0.295	  0.215
  3.000	  0.295	  0.205
  3.008	  0.295	  0.195
  3.016	  0.285	  0.185
  3.023	  0.275	  0.185
  3.031	  0.275	  0.185
  3.039	  0.265	  0.175
  3.047	  0.265	  0.165
  3.055	  0.255	  0.165
  3.062	  0.255	  0.165
  3.070	  0.245	  0.165
  3.078	  0.245	  0.155
  3.086	  0.235	  0.145
  3.094	  0.225	  0.145
  3.102	  0.225	  0.145
  3.109	  0.225	  0.125
  3.117	  0.215	  0.125
  3.125	  0.215	  0.125
  3.133	  0.205	  0.115
